positivo,Esse livro é incrível.
positivo,Um dos melhores livros que eu já li.
positivo,um dos melhores livros que eu já li
positivo,Acho que ele tem um conteúdo que vai além do que está em sua descrição.
positivo,O Sol é para todos é profundo e emocionante
positivo,Me encantei por este livro
positivo,Este livro, apesar de antigo e com uma história que trata de uma época mais antiga ainda, possui um conteúdo atual e de extrema importância.
positivo,The Da Vinci Code is actually a good movie...
positivo,I thought the Da Vinci Code was a pretty good book.
positivo,Um livro que realmente deveria ser lido por todas as pessoas.
positivo,The Da Vinci Code is an * amazing * book
positivo,then I turn on the light and the radio and enjoy my Da Vinci Code.
positivo,Harper Lee aborda temas muito polêmicos, como o racismo e o Bullying, pelos olhos inocentes de uma criança de 7 anos.
positivo,i love da vinci code....
positivo,i loved da vinci code..
positivo,TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...
positivo,THE DA VINCI CODE is AN AWESOME BOOK....
positivo,very da vinci code slash amazing race.
positivo,Hey I loved The Da Vinci Code!..
positivo,also loved the da vinci code..
positivo,Ele relata sobre relação e educação de pais e filhos, fala sobre respeito, individualidade e muito mais.
positivo,I do like Angels and Demons more then The Da Vinci Code.
positivo,The Da Vinci Code was a really good movie.
positivo,I really like The Da Vinci Code.
positivo,Da Vinci Code is amazing.
positivo,Um dos melhores livros que eu já li.
positivo,um dos melhores livros que eu já li.
positivo,Book ( s ): I love The Da Vinci Code..
positivo,And then we went to see The Da Vinci Code
positivo,I love the Da Vinci Code.
positivo,Da Vinci code is awesome!
positivo,The Da Vinci Code is awesome.
positivo,The Da Vinci Code is SUCH an awesome book!
positivo,I LOVE THE DA VINCI CODE...
positivo,I loved The Da Vinci Code.
positivo,um dos melhores livros que eu já li.
positivo,oh so beautiful Da Vinci Code...
positivo,i loved the da vinci code.
positivo,The Da Vinci Code is an awesome book.
positivo,Da vinci code is an awesome book.
positivo,I miss ripping acoustic music and the Da Vinci Code...
positivo,looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.
positivo,Da Vinci Code is of course a awesome book
positivo,"I love "" The Da Vinci Code!"
positivo,i LOVED the Da Vinci Code.
positivo,da vinci code is awesome.
positivo,I love The Da Vinci Code.
positivo,Os personagens são maravilhosos... 
positivo,omg i love the da vinci code that is such an awesome book!
positivo,O que falar desde livro INCRÍVEL? O sol é para todos me conquistou de uma forma pura! 
negativo,da vinci code was a terrible movie.
negativo,i thought the da vinci code movie was really boring.
negativo,Da Vinci Code does suck.
negativo,I think this bolsters my arguments that both England and the Da Vinci Code sucks...
negativo,And better..-We all know Da Vinci code is bogus and inaccurate.
negativo,I really hate The Da Vinci Code.
negativo,The more you say The Da Vinci Code is evil
negativo,da vinci code sucked too long and too slow.....
negativo,Da Vinci Code sucked
negativo,not sure if i already threw this at you but I hate the Da Vinci Code.
negativo,This is why I hate the Da Vinci Code: because it takes nothing but a fucking pop culture phenomenon to get people to question things.
negativo,I hate the Da Vinci Code
negativo,Da Vinci Code really did suck and congrats on beating Jay it must of been like that time at Rickards when we beat them in the finals.
negativo,The Da Vinci Code sucks.
negativo,I hated The Da Vinci Code.
negativo,I hate the Da Vinci Code
negativo,I know Da Vinci Code is going to suck.
negativo,The Da Vinci Code sucks..
negativo,I also think The Da Vinci Code sucked balls and it's the worst piece of shit I've ever read.
negativo,Thank God Someone Has Sense I hate The Da Vinci Code.
negativo,RACHEL you could of told me your nans a libarian before i said i hated'The da vinci code '!!
negativo,Sol para todos é um Livro ruim
negativo,Livro ruim
negativo,Livro ruim
negativo,Livro ruim
negativo,the da vinci code sucks btw..
negativo,I hate the Da Vinci Code..
negativo,i fucking hated the da vinci code.
negativo,"poderia ter sido melhor"
negativo,simples e raso
negativo,Livro ruim
negativo,Livro ruim
negativo,Livro ruim
negativo,"poderia ter sido melhor"
negativo,O Sol para todos não é para todos.
negativo,well DA VINCI CODE SUCKS!!
negativo,The Da Vinci Code sucked ass if you're wondering.
negativo,Da Vinci Code sucks...
negativo,I hate the Da Vinci Code
negativo,about how much i hate the da vinci code.
negativo,And I absolutely loathe the Da Vinci Code.
negativo,I hated the da vinci code...
negativo,Livro ruim...
negativo,Livro ruim
negativo,já esqueci o livro de tão ruim que foi.
negativo,todos disseram que era bom, mas não achei
negativo,abaixo das expectativas
negativo,muito ruim...
negativo,Não gostei.
negativo,Livro muito infantil!
